starting program at 2023-11-26 16:23:08.061827
0.294 high score: 0.718		gamma: 0.520 win rate: 0.545 tie rate: 0.249 loss rate: 0.207	time: 2023-11-26 16:26:56.276208
0.294 high score: 0.718		gamma: 0.593 win rate: 0.544 tie rate: 0.245 loss rate: 0.212	time: 2023-11-26 16:27:00.210450
0.294 high score: 0.718		gamma: 0.666 win rate: 0.582 tie rate: 0.195 loss rate: 0.223	time: 2023-11-26 16:27:04.056138
0.294 high score: 0.718		gamma: 0.739 win rate: 0.549 tie rate: 0.236 loss rate: 0.215	time: 2023-11-26 16:27:08.042249
0.294 high score: 0.718		gamma: 0.097 win rate: 0.582 tie rate: 0.203 loss rate: 0.215	time: 2023-11-26 16:27:11.882819
0.294 high score: 0.718		gamma: 0.163 win rate: 0.578 tie rate: 0.228 loss rate: 0.194	time: 2023-11-26 16:27:15.765718
0.294 high score: 0.718		gamma: 0.228 win rate: 0.599 tie rate: 0.185 loss rate: 0.216	time: 2023-11-26 16:27:19.651219
0.294 high score: 0.718		gamma: 0.294 win rate: 0.564 tie rate: 0.224 loss rate: 0.212	time: 2023-11-26 16:27:23.534534
0.294 high score: 0.718		gamma: 0.360 win rate: 0.545 tie rate: 0.242 loss rate: 0.213	time: 2023-11-26 16:27:27.389425
0.294 high score: 0.718		gamma: 0.425 win rate: 0.577 tie rate: 0.192 loss rate: 0.231	time: 2023-11-26 16:27:31.227748
0.294 high score: 0.718		gamma: 0.491 win rate: 0.556 tie rate: 0.240 loss rate: 0.204	time: 2023-11-26 16:27:35.081671
0.294 high score: 0.718		gamma: 0.556 win rate: 0.592 tie rate: 0.179 loss rate: 0.229	time: 2023-11-26 16:27:39.380182
0.294 high score: 0.718		gamma: 0.622 win rate: 0.496 tie rate: 0.287 loss rate: 0.217	time: 2023-11-26 16:27:43.292582
0.294 high score: 0.718		gamma: 0.688 win rate: 0.581 tie rate: 0.200 loss rate: 0.219	time: 2023-11-26 16:27:47.146714
0.294 high score: 0.718		gamma: 0.108 win rate: 0.594 tie rate: 0.184 loss rate: 0.222	time: 2023-11-26 16:27:51.017293
0.294 high score: 0.718		gamma: 0.167 win rate: 0.618 tie rate: 0.185 loss rate: 0.197	time: 2023-11-26 16:27:54.795899
0.294 high score: 0.718		gamma: 0.226 win rate: 0.529 tie rate: 0.271 loss rate: 0.199	time: 2023-11-26 16:27:58.685064
0.294 high score: 0.718		gamma: 0.285 win rate: 0.608 tie rate: 0.150 loss rate: 0.242	time: 2023-11-26 16:28:02.528309
0.294 high score: 0.718		gamma: 0.344 win rate: 0.590 tie rate: 0.219 loss rate: 0.191	time: 2023-11-26 16:28:06.378142
0.294 high score: 0.718		gamma: 0.403 win rate: 0.522 tie rate: 0.281 loss rate: 0.197	time: 2023-11-26 16:28:10.276651
0.294 high score: 0.718		gamma: 0.462 win rate: 0.582 tie rate: 0.194 loss rate: 0.224	time: 2023-11-26 16:28:14.176747
0.294 high score: 0.718		gamma: 0.521 win rate: 0.507 tie rate: 0.292 loss rate: 0.201	time: 2023-11-26 16:28:18.086890
0.294 high score: 0.718		gamma: 0.580 win rate: 0.579 tie rate: 0.219 loss rate: 0.202	time: 2023-11-26 16:28:21.961319
0.294 high score: 0.718		gamma: 0.639 win rate: 0.541 tie rate: 0.249 loss rate: 0.210	time: 2023-11-26 16:28:25.819436
